id,nombre,curso,descripcion
1,Algoritmos y estructuras de Datos Avanzados,2,"Idear, diseñar e implementar algoritmos eficientes para resolver problemas informáticos. Idear, estructurar y definir estructuras de datos apropiadas para aplicaciones."
2,Sistemas Operativos,2,"La finalidad de esta asignatura, en el contexto del Módulo de Sistemas Operativos, Sistemas Distribuidos y Redes del que forma parte, es aprender a diseñar e implementar aplicaciones que hagan uso de los servicios proporcionados por el sistema operativo, así como proporcionar los conocimientos necesarios para utilizar el sistema operativo a nivel de usuario avanzado"
3,Desarrollo de Sistemas Informáticos,3,"Configurar, administrar y utilizar entornos para el desarrollo de aplicaciones utilizando las tecnologías web actuales. Desarrollar aplicaciones en entornos de desarrollo web que implementen prototipos sencillos de sistemas de información con gestión de usuarios."
4,Inteligencia Artificial,3,"Realizar una síntesis por escrito de los sistemas inteligentes y su aplicación práctica. Extraer y representar conocimiento para la implementación de sistemas inteligentes mediante lógica. Extraer y representar conocimiento para la implementación de sistemas inteligentes mediante sistemas basados en reglas. Diseñar, implementar y evaluar algoritmos de búsquedas en espacios de estados para la resolución de problemas. Conocer y aplicar los conocimientos teóricos y prácticos de la materia."
5,Lenguajes y Paradigmas de Programación,3,"Autónomamente analizar, evaluar e integrar información técnica sobre los paradigmas y lenguajes de programación más idóneos para resolver problemas y proponer una implantación en sistemas concurrentes, paralelos, distribuidos y en tiempo real y argumentar por escrito sus propuestas."
6,Sistemas de Interacción Persona Computador,3,"Conocimiento y aplicación de los conceptos teóricos relacionados con los sistemas de interacción persona computador. Conocimiento de los lenguajes y herramientas necesarias para el diseño y desarrollo de interfaces interactivas. Conocimiento de las metodologías y técnicas necesarias para el diseño de proyectos centrados en el usuario."
7,Sistemas y Tecnologías Web,4,"Diseño, desarrollo e implementación. Arquitecturas orientadas a servicios. Software social y colaborativo. Fundamentos, sistemas, servicios y aplicaciones basados en contenidos multimedia. Comercio electrónico. Medios y librerías digitales."
